M.hi.p,M.lo.p,MET.hi.p,MET.lo.p,MET.sp.p,SEC.hi.p,SEC.lo.p,M.hi,M.lo,MET.hi,MET.lo,MET.sp,SEC.hi,SEC.lo
59.25,29.19,63.67,26.03,50.09,58.56,29.19,458,1455,2037,3437,468,156,544
56.26,26.31,60.34,25.54,48.82,54.64,26.31,477,1756,1700,3436,464,151,624
56.26,26.25,60.79,25.69,48.56,57.9,26.25,539,2296,1747,3304,490,178,611
49.33,26.15,55.09,26.46,47.74,49.7,26.15,687,3240,2371,3864,657,217,646
61.34,25.88,65.09,25.72,50.75,63.72,25.88,389,2252,1741,3406,439,141,624
61.4,27.35,67.91,26.17,52.63,68.38,27.35,399,1901,2072,3418,453,149,610
65.83,26.67,69.43,25.38,51.36,67.84,26.67,392,1939,2353,3553,423,134,623
60.34,26.17,65.56,25.64,51.44,63.93,26.17,417,1999,2909,3376,408,148,599
46.77,27.2,53.56,25.94,48.27,46.71,27.2,568,1798,3204,3233,501,195,551
50.1,26.61,56.95,26.04,48.52,53.51,26.61,583,1558,2395,3262,481,170,539
49.42,26.23,55.11,26.17,47.41,52.79,26.23,559,1705,2442,3361,558,177,572
48.36,26.38,51.92,25.96,45.84,47.46,26.38,499,1705,2297,3461,620,183,603
50.62,26.34,55.36,27.16,48.37,51.62,26.34,521,1649,1752,3158,513,176,620
56.82,28.61,61.15,27.48,49.83,55.33,28.61,485,1401,1581,3005,511,160,566
59.61,27.93,65.35,27.42,51.22,61,27.93,474,1602,1495,2996,446,155,572
57.28,27.5,61.36,26.88,49.75,56.67,27.5,439,1509,1860,3166,470,170,553
49.72,31.9,56.7,27.31,49.05,52.84,31.9,532,1927,2901,3374,595,197,581
50.11,28.09,55.92,27.35,48.18,52.98,28.09,379,1925,2900,3174,552,186,569
51.82,29.13,54.77,27.61,48.16,49.2,29.13,346,1534,2846,3043,467,188,551
54.39,28.09,57.75,28.32,49.65,55.86,28.09,452,1687,2352,2858,447,168,572
46.63,27.6,51.01,27.39,47.35,57.31,27.6,530,1899,3017,3008,552,162,561
55.54,27.63,57.78,27.62,48.71,61.9,27.63,484,1725,3641,3055,506,155,540
57.8,27.57,63.79,27.73,50.14,68.29,27.57,506,1439,3740,3116,525,131,596
49.29,28.08,57.15,27.28,48.1,63.66,28.08,482,1476,3690,3190,524,152,555
