date,riders
1973-01-01,64800
1973-02-01,64600
1973-03-01,63900
1973-04-01,65400
1973-05-01,63000
1973-06-01,62200
1973-07-01,61700
1973-08-01,61300
1973-09-01,66100
1973-10-01,69500
1973-11-01,69000
1973-12-01,70700
1974-01-01,81700
1974-02-01,83900
1974-03-01,81000
1974-04-01,78900
1974-05-01,76000
1974-06-01,72400
1974-07-01,70400
1974-08-01,69100
1974-09-01,74500
1974-10-01,80300
1974-11-01,78000
1974-12-01,76100
1975-01-01,85700
1975-02-01,90700
1975-03-01,87300
1975-04-01,91000
1975-05-01,90000
1975-06-01,88000
1975-07-01,86700
1975-08-01,85400
1975-09-01,92800
1975-10-01,106400
1975-11-01,110300
1975-12-01,102600
1976-01-01,110200
1976-02-01,108000
1976-03-01,103400
1976-04-01,108300
1976-05-01,107800
1976-06-01,102000
1976-07-01,98400
1976-08-01,95200
1976-09-01,103300
1976-10-01,111400
1976-11-01,116000
1976-12-01,105800
1977-01-01,120900
1977-02-01,120000
1977-03-01,113000
1977-04-01,118200
1977-05-01,115200
1977-06-01,111600
1977-07-01,109800
1977-08-01,104400
1977-09-01,114200
1977-10-01,122200
1977-11-01,123400
1977-12-01,115500
1978-01-01,128600
1978-02-01,128100
1978-03-01,122400
1978-04-01,128000
1978-05-01,122800
1978-06-01,118100
1978-07-01,115600
1978-08-01,112400
1978-09-01,115200
1978-10-01,120500
1978-11-01,126000
1978-12-01,118800
1979-01-01,121200
1979-02-01,126900
1979-03-01,124600
1979-04-01,129900
1979-05-01,128400
1979-06-01,134500
1979-07-01,134100
1979-08-01,130800
1979-09-01,144800
1979-10-01,145400
1979-11-01,146700
1979-12-01,143100
1980-01-01,151000
1980-02-01,155800
1980-03-01,153600
1980-04-01,152300
1980-05-01,149200
1980-06-01,143700
1980-07-01,136500
1980-08-01,131000
1980-09-01,144100
1980-10-01,145000
1980-11-01,142400
1980-12-01,136000
1981-01-01,142900
1981-02-01,144000
1981-03-01,141400
1981-04-01,142400
1981-05-01,140800
1981-06-01,133700
1981-07-01,125800
1981-08-01,121400
1981-09-01,132600
1981-10-01,141700
1981-11-01,141700
1981-12-01,132900
1982-01-01,146100
1982-02-01,142500
1982-03-01,141900
1982-04-01,143200
1982-05-01,139400
1982-06-01,132700
